index,red1,ir1,red2,ir2
775,164546,139479,175026,143407
776,164534,139475,175043,143410
777,164533,139472,175061,143400
778,164553,139479,175061,143406
779,164584,139490,175081,143414
780,164603,139507,175110,143422
781,164633,139518,175144,143433
782,164649,139527,175092,143410
783,164674,139531,174780,143297
784,164696,139545,174581,143217
785,164701,139537,174600,143225
786,164707,139534,174630,143243
787,164706,139530,174641,143244
788,164684,139521,174686,143266
789,164666,139509,174759,143285
790,164659,139504,174748,143283
791,164665,139489,174720,143281
792,164566,139475,174787,143296
793,164439,139450,174840,143328
794,164422,139465,174877,143338
795,164472,139476,174907,143351
796,164483,139483,174931,143352
797,164501,139478,174948,143352
798,164559,139498,174969,143357
799,164573,139492,174984,143362
800,164547,139487,174986,143368
801,164558,139480,175021,143368
802,164585,139487,175054,143392
803,164583,139477,175078,143393
804,164607,139474,175077,143385
805,164630,139482,174919,143334
806,164630,139470,174598,143207
807,164636,139463,174496,143182
808,164663,139480,174508,143184
809,164657,139463,174502,143176
810,164672,139460,174533,143183
811,164689,139468,174640,143229
812,164711,139460,174666,143238
813,164727,139460,174636,143220
814,164726,139465,174660,143233
815,164678,139457,174726,143261
816,164540,139417,174782,143288
817,164485,139404,174813,143300
818,164500,139420,174849,143309
819,164507,139396,174875,143326
820,164514,139399,174905,143322
821,164555,139396,174927,143333
822,164571,139394,174932,143331
823,164550,139385,174948,143342
824,164556,139374,174975,143345
825,164583,139365,175037,143369
826,164596,139358,175049,143387
827,164626,139359,175035,143365
828,164634,139355,174870,143316
829,164641,139338,174581,143207
830,164647,139339,174520,143189
831,164664,139332,174531,143191
832,164385,139282,174468,143055
833,164390,139281,174535,143066
834,164402,139295,174572,143093
835,164431,139292,174614,143095
836,164451,139297,174650,143109
837,164439,139285,174680,143119
838,164450,139285,174700,143129
839,164476,139269,174721,143130
840,164501,139270,174746,143140
841,164531,139274,174773,143141
842,164532,139260,174800,143159
843,164537,139262,174839,143169
844,164534,139253,174863,143169
845,164537,139246,174893,143193
846,164537,139256,174829,143157
847,164567,139258,174555,143053
848,164583,139266,174384,142999
849,164593,139269,174398,143006
850,164617,139265,174437,143022
851,164575,139270,174454,143030
852,164500,139238,174539,143061
853,164379,139225,174588,143091
854,164379,139223,174557,143067
855,164402,139245,174588,143072
856,164429,139250,174650,143104
857,164463,139247,174702,143125
858,164455,139246,174753,143147
859,164454,139248,174781,143158
860,164444,139244,174787,143162
861,164454,139242,174799,143155
862,164484,139239,174795,143154
863,164506,139247,174808,143160
864,164531,139255,174805,143160
865,164527,139253,174830,143152
866,164527,139252,174874,143167
867,164535,139253,174890,143172
868,164527,139257,174902,143161
869,164531,139264,174820,143129
870,164543,139271,174547,143033
871,164563,139279,174424,142998
872,164575,139271,174448,143009
873,164574,139273,174487,143011
874,164488,139263,174526,143023
875,164344,139235,174612,143063
876,164302,139229,174630,143061
877,164329,139247,174562,143045
878,164331,139255,174589,143059
879,164349,139260,174651,143086
880,164410,139271,174702,143092
881,164413,139275,174740,143113
882,164404,139286,174754,143114
883,164410,139291,174763,143106
884,164445,139288,174783,143114
885,164489,139291,174771,143105
886,164519,139299,174790,143116
887,164532,139309,174799,143102
888,164541,139306,174806,143111
889,164544,139304,174835,143131
890,164563,139306,174869,143140
891,164556,139305,174877,143135
892,164578,139306,174728,143074
893,164586,139326,174392,142954
